,0
1188,0.9844975
1189,0.97919357
1190,0.9840913
1191,0.6966505
1192,0.95246655
1193,0.8667194
1194,0.9495699
1195,0.6448137
1196,0.97651625
1197,0.9810891
1198,0.8168609
1199,0.639536
1200,0.99025714
1201,0.9847594
1202,0.9676285
1203,0.9337185
1204,0.77350247
1205,0.929176
1206,0.9339236
1207,0.9932785
1208,0.6828712
1209,0.62381786
1210,0.873097
1211,0.983062
1212,0.6459428
1213,0.9920605
1214,0.98018193
1215,0.9057414
1216,0.6740951
1217,0.97038054
1218,0.9819136
1219,0.6054976
1220,0.9787842
1221,0.9434194
1222,0.92178607
1223,0.58632046
1224,0.86111575
1225,0.7370824
1226,0.9884117
1227,0.637041
1228,0.9845612
1229,0.96692806
1230,0.99696445
1231,0.97389746
1232,0.598951
1233,0.8941781
1234,0.6018858
1235,0.8900886
1236,0.95249283
1237,0.98771626
1238,0.9976216
1239,0.9371178
1240,0.6859709
1241,0.96568817
1242,0.8844138
1243,0.7367695
1244,0.97154194
1245,0.9593931
1246,0.7447419
1247,0.66746074
1248,0.98894656
1249,0.8803964
1250,0.9743236
1251,0.98202986
1252,0.64346373
1253,0.9318706
1254,0.806604
1255,0.99095416
1256,0.95195514
1257,0.90647584
1258,0.5888751
1259,0.9463479
1260,0.97855145
1261,0.6276634
1262,0.9680495
1263,0.9128417
1264,0.9151907
1265,0.9950929
1266,0.7083185
1267,0.9158714
1268,0.9673301
1269,0.75675064
1270,0.9929052
1271,0.90291584
1272,0.9828847
1273,0.88032085
1274,0.9872809
1275,0.9108788
1276,0.9742324
1277,0.6267478
1278,0.9063532
1279,0.9504363
1280,0.9201098
1281,0.63428295
1282,0.9372403
1283,0.69093645
1284,0.9297364
1285,0.9874339
1286,0.80782336
1287,0.95747876
1288,0.60826063
1289,0.72856563
1290,0.8866031
1291,0.98410165
1292,0.96810997
1293,0.62623477
1294,0.9964997
1295,0.99152064
1296,0.59556544
1297,0.903718
1298,0.96368563
1299,0.8376477
1300,0.9879735
1301,0.99042284
1302,0.58506787
1303,0.980139
1304,0.9610184
1305,0.93634164
1306,0.93162304
1307,0.9111308
1308,0.96931744
1309,0.88818246
1310,0.99428165
1311,0.99837106
1312,0.6882756
1313,0.90509665
1314,0.90922993
1315,0.915614
1316,0.98416746
1317,0.65795463
1318,0.94898427
1319,0.8028763
1320,0.92635506
1321,0.8313845
1322,0.7452909
1323,0.92489684
1324,0.69763345
1325,0.94328517
1326,0.98237115
1327,0.9714244
1328,0.9816473
1329,0.6768742
1330,0.9816436
1331,0.6714754
1332,0.8823085
1333,0.95952445
1334,0.5961819
1335,0.701522
1336,0.7695858
1337,0.74742734
1338,0.8842282
1339,0.7956867
1340,0.8246758
1341,0.78019935
1342,0.9223226
1343,0.96025217
1344,0.98931885
1345,0.6864367
1346,0.9915641
1347,0.91009444
1348,0.9549409
1349,0.883816
